"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A7EAH9PX","journalArticle","2023","Grane, Kevin","EVOLUTION OF COLONIAL GENDER ROLES","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/b5971b2a-a229-387a-9f17-d61f42757564","","2023","2026-02-02 05:06:11","2026-02-05 02:12:45","","45-56","","1","22","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Patriarchy; Imperialism; Colonialism and neocolonialism; Colonies; etc.; Prophecy; Heterosexism; Homophobia; laws; Male domination (Social structure); Sex discrimination against women; Women – Legal status; Women's rights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DFT8CNSX","journalArticle","2023","Hujing, Kevin","BINDING FREEDOM: EMBODIMENT OF THE SECULAR AND RELIGIOUS","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/f8dcc28c-0b0e-3c73-9c27-c1d8d917ffae","","2023","2026-02-02 05:06:11","2026-02-05 02:12:45","","62-76","","1","22","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Religion; Philosophical anthropology; Free will and determinism; Secularism; Culture – Philosophy; Body; Human (Philosophy); Freedom – Philosophy; Tradition (Philosophy)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AK8BKLLW","journalArticle","2023","Auer, Stella Indira","EMBODIED RESTORATION: THE CULTIVATION OF QUALITY OF LIFE AND DEATH","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/9d76511a-df30-3a32-89c3-6eb2a21b00f3","","2023","2026-02-02 05:06:11","2026-02-05 02:12:45","","1-13","","1","22","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Death; Philosophical anthropology; Religious Aspects; Quality of life; Body; Human (Philosophy); Choice (Psychology); Health; Medicine – Philosophy; Risk assessment; Social history","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3I5SX4F9","journalArticle","2023","Westin, Anna; Sedmak, Magdalena","EMBODIED TRAUMA AND HEALING","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/3212363c-86ac-3b25-b1a1-1d95239e0f42","","2023","2026-02-02 05:06:11","2026-02-05 02:12:45","","135-138","","1","22","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Philosophical anthropology; Psychic trauma; Interviews; Body; Human (Philosophy); Psychology – Philosophy; Physical anthropology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3KT7V5CX","journalArticle","2023","Hall, Joshua M","INTRODUCING SPIRIT DANCE: RECONSTRUCTED / SPIRITUAL PRACTICES","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/2309c7d7-ae52-3a2f-8e95-bc100ccbef8e","","2023","2026-02-02 05:06:11","2026-02-05 02:12:45","","185-207","","2","22","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Spirituality; Mystery (Theology); Liberalism; Christianity; Shamanism; Administration of; Political science – Philosophy; 1844-1900; Bacchanalia; Communitarianism; Criminal justice; Cultus; Dance and religion; Dionysus (Greek deity); Friedrich Wilhelm; Greek; Nietzsche; Political violence; Revolutions; Vodou; Yanomamo (South American people)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTYW7B7T","journalArticle","2023","Byng, Gabriel Thomas Gustav","ECKHART AND THE EK-SISTENCE OF GOD: A MYSTICAL QUARTER TURN IN THE THEOLOGY OF THE REAL","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/66ad154b-d962-34ff-b0e6-9674715d2223","","2023","2026-02-02 05:06:11","2026-02-05 02:12:45","","169-185","","2","22","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Theology; God (Philosophy); Philosophy and theology; Symbolism in religion; Mysticism; Christianity; Catholic Church; 1260?-1327; 1901-1981; 1949-; Eckhart; Existence; Experience (Religion) – Christianity; Jacques; Lacan; Meister; Middle Ages; Psychoanalysis and religion; Religion – Philosophy; Slavoj; Žižek","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JP8P5E5B","journalArticle","2023","Raschke, Carl","THE USE AND ABUSE OF THE EXPRESSION “CHRISTIAN NATIONALISM”","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/a628a5c3-e518-3e0c-94dd-2ef951dd0c60","","2023","2026-02-02 05:06:11","2026-02-05 02:12:45","","253-268","","2","22","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","United States; Populism; Secularism; Christianity and politics; Christianity; Political theology; Nationalism and religion; Neoliberalism; Religion and state; Political science – Philosophy; Christian reconstructionism; Dominion (Word); Privatization; Public opinion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"224V63K9","journalArticle","2023","Howes, Rebekah","HEGEL CONTRA GOD: REPLYING TO GAVIN HYMAN’S ‘NEW HEGEL’","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/4f6ef1d1-bf06-3f14-88b3-ad3348df0f80","","2023","2026-02-02 05:06:11","2026-02-05 02:12:45","","207-230","","2","22","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","God (Philosophy); Philosophy and theology; Christianity; Dialectic; 1949-; Religion – Philosophy; Slavoj; Žižek; 1770-1831; 1947-1995; 1950-; 1959-; 1974-; Absolute; Archbishop of Canterbury; Catherine; Gavin; Georg Wilhelm Friedrich; Gillian; God – Attributes; Hegel; Hyman; Malabou; Ontotheology; Rose; Rowan; The; Williams","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FKS8RSJD","journalArticle","2023","Sedmak, Magdalena","TRAUMA IN EMMANUEL LEVINAS’ WRITING BODY","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/b43257c8-d681-353c-ac0d-a748688c169d","","2023","2026-02-02 05:06:11","2026-02-05 02:12:45","","100-112","","1","22","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Interpersonal relations; Philosophical anthropology; Ethics; Psychic trauma; Social philosophy; Other (Philosophy); Body; Human (Philosophy); Psychology – Philosophy; 1906-1995; Emmanuel; Lévinas; Psychotherapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X9P3HP6S","journalArticle","2023","Quell, Philipp","DE(MA)CRACY","Journal for Cultural & Religious Theory","","1530-5228","","https://research.ebsco.com/plink/170ff211-e115-3fe3-abc3-7bf336fd1154","","2023","2026-02-02 05:06:11","2026-02-05 02:12:45","","77-99","","1","22","","JCRT","","","","","","Whitestone Foundation","","","","","","","","","","","","","Social psychology; Social philosophy; Democracy; Political science – Philosophy; Republicanism; Collective behavior; Crowds; Representative government and representation; Political systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
